postcode,state,region,area_type,sales_channel,customer_type,customer_segment,product_category,marketing_channel,device_type,fulfilment_type,discount_code_used,orders_2025,orders_2026,customers_2025,customers_2026,units_sold_2025,units_sold_2026,gross_sales_2025,gross_sales_2026,discounts_2025,discounts_2026,refunds_2025,refunds_2026,net_sales_2025,net_sales_2026,average_order_value_2025,average_order_value_2026,conversion_rate_2025,conversion_rate_2026,return_rate_2025,return_rate_2026,repeat_customer_rate_2025,repeat_customer_rate_2026
2234,NSW,Sydney,Metro,Online Store,Returning,New customer,Beauty & Personal Care,Paid Search,Mobile,Standard Shipping,No,36,44,25,34,76,94,3881.49,5299.06,232.85,418.0,57.11,132.08,3591.52,4748.98,99.76,107.93,3.97%,4.13%,2.00%,3.74%,62.92%,70.74%
2234,NSW,Sydney,Metro,Online Store,Returning,Reactivated,Footwear,Email / SMS,Mobile,Standard Shipping,No,18,18,16,14,20,21,4580.2,5161.38,339.76,472.31,448.88,532.31,3791.56,4156.75,210.64,230.93,5.45%,5.70%,11.91%,13.06%,64.79%,68.57%
2234,NSW,Sydney,Metro,Online Store,Returning,Active,Apparel,Paid Social,Mobile,Standard Shipping,No,69,74,55,65,110,117,10855.45,12455.28,713.86,596.37,985.08,1360.62,9156.5,10498.29,132.7,141.87,2.36%,2.29%,16.31%,14.50%,69.47%,76.80%
2267,NSW,Regional NSW,Regional,Online Store,New,Reactivated,Apparel,Paid Social,Mobile,Standard Shipping,No,37,42,29,30,63,74,8007.9,9540.18,686.02,623.34,879.13,951.23,6442.75,7965.62,174.13,189.66,3.94%,4.03%,15.06%,15.07%,12.65%,15.86%
2267,NSW,Regional NSW,Regional,Retail POS,New,New customer,Accessories,Paid Search,Mobile,Express Shipping,Yes,51,53,37,44,83,86,6086.92,6708.06,673.45,760.33,310.53,310.32,5102.94,5637.41,100.06,106.37,2.46%,2.80%,7.38%,6.77%,10.86%,16.60%
2267,NSW,Regional NSW,Regional,Shop App,Returning,New customer,Beauty & Personal Care,Direct,Mobile,Click & Collect,No,90,120,68,99,186,266,7519.79,10834.09,785.49,1389.87,250.55,560.82,6483.75,8883.4,72.04,74.03,3.62%,3.61%,4.85%,6.62%,52.44%,56.92%
2267,NSW,Regional NSW,Regional,Online Store,New,Active,Home & Lifestyle,Organic Search,Mobile,Standard Shipping,No,7,7,6,5,9,10,1659.36,1716.09,166.05,192.8,85.77,92.64,1407.54,1430.65,201.08,204.38,1.90%,1.93%,6.46%,7.91%,10.69%,12.70%
2322,NSW,Regional NSW,Regional,Online Store,Returning,New customer,Apparel,Email / SMS,Mobile,Standard Shipping,No,40,41,32,29,57,58,8042.64,8616.7,358.4,547.07,612.31,446.72,7071.93,7622.91,176.8,185.92,3.70%,3.55%,10.29%,8.65%,69.79%,76.72%
2322,NSW,Regional NSW,Regional,Online Store,New,New customer,Apparel,Organic Search,Mobile,Standard Shipping,No,84,101,65,70,130,157,17927.03,22393.74,2451.63,2836.02,1306.6,1754.91,14168.8,17802.82,168.68,176.27,4.33%,4.50%,9.97%,9.53%,7.94%,8.00%
2322,NSW,Regional NSW,Regional,Online Store,New,Reactivated,Accessories,Paid Search,Mobile,Express Shipping,No,84,85,66,75,152,158,8821.78,9111.4,687.81,701.97,456.43,242.86,7677.53,8166.57,91.4,96.08,1.72%,1.87%,6.30%,4.18%,10.11%,15.77%
2322,NSW,Regional NSW,Regional,Shop App,Returning,Active,Beauty & Personal Care,Organic Search,Tablet,Standard Shipping,No,104,127,88,112,231,282,9524.61,12695.39,1189.53,1895.11,185.38,319.21,8149.7,10481.06,78.36,82.53,3.72%,3.95%,3.45%,4.34%,63.14%,62.14%
2323,NSW,Regional NSW,Regional,Shop App,Returning,New customer,Home & Lifestyle,Direct,Mobile,Standard Shipping,No,37,41,29,34,52,58,9214.84,10535.21,1279.39,1250.36,454.27,528.03,7481.18,8756.81,202.19,213.58,5.04%,5.93%,5.94%,6.28%,48.16%,48.76%
2323,NSW,Regional NSW,Regional,Social Commerce,Returning,New customer,Apparel,Email / SMS,Mobile,Standard Shipping,No,75,91,62,71,115,139,16891.98,20988.71,1824.94,1753.02,1198.98,1693.0,13868.06,17542.7,184.91,192.78,4.57%,4.80%,12.20%,12.85%,69.03%,72.88%
2323,NSW,Regional NSW,Regional,Retail POS,Returning,Reactivated,Accessories,Direct,Desktop,Standard Shipping,No,81,79,64,57,144,150,9335.06,9512.37,383.04,222.16,518.08,565.67,8433.94,8724.54,104.12,110.44,3.03%,3.09%,6.94%,8.54%,72.86%,78.74%
2323,NSW,Regional NSW,Regional,Online Store,New,Active,Home & Lifestyle,Paid Search,Mobile,Standard Shipping,Yes,159,197,118,172,209,277,37493.66,47823.59,7155.99,9295.52,1105.16,1620.59,29232.51,36907.48,183.85,187.35,3.82%,4.36%,4.92%,5.14%,16.04%,19.83%
2335,NSW,Regional NSW,Regional,Social Commerce,New,Active,Apparel,Organic Search,Mobile,Standard Shipping,Yes,72,93,61,78,109,144,14654.61,19734.17,2612.66,3820.99,881.93,700.06,11160.02,15213.12,155.0,163.58,3.37%,3.52%,7.15%,4.77%,8.32%,10.55%
2335,NSW,Regional NSW,Regional,Online Store,New,High value,Footwear,Organic Search,Mobile,Standard Shipping,No,9,10,7,7,9,10,2367.13,2677.79,97.38,64.03,190.43,171.01,2079.32,2442.74,231.04,244.27,1.49%,1.42%,12.16%,10.20%,15.99%,21.20%
2335,NSW,Regional NSW,Regional,Marketplace,New,High value,Footwear,Direct,Mobile,Standard Shipping,No,41,45,37,35,50,57,12046.54,13007.07,846.7,609.21,1565.56,1534.0,9634.29,10863.86,234.98,241.42,2.43%,2.46%,16.14%,15.54%,15.06%,17.25%
2335,NSW,Regional NSW,Regional,Social Commerce,Returning,At risk,Beauty & Personal Care,Paid Social,Mobile,Click & Collect,No,83,104,67,71,171,231,9196.49,11476.89,1100.64,1102.85,151.87,32.39,7943.99,10341.65,95.71,99.44,5.13%,5.17%,2.39%,0.50%,52.14%,59.65%
2339,NSW,Regional NSW,Regional,Online Store,Returning,Active,Beauty & Personal Care,Email / SMS,Desktop,Standard Shipping,Yes,31,35,25,28,64,71,3709.82,4398.48,504.72,563.56,119.08,142.28,3086.01,3692.64,99.55,105.5,5.11%,5.11%,4.84%,5.47%,64.61%,65.00%
2339,NSW,Regional NSW,Regional,Online Store,Returning,At risk,Footwear,Direct,Mobile,Standard Shipping,No,12,15,9,11,14,17,4108.32,4851.36,524.4,522.43,599.84,545.79,2984.08,3783.15,248.67,252.21,3.11%,2.97%,17.83%,18.73%,74.44%,80.00%
2339,NSW,Regional NSW,Regional,Shop App,Returning,Active,Apparel,Organic Search,Desktop,Standard Shipping,Yes,36,42,29,28,56,68,7399.71,9049.12,1180.72,1510.13,631.45,932.82,5587.54,6606.17,155.21,157.29,2.18%,2.20%,12.25%,12.71%,60.46%,65.25%
2339,NSW,Regional NSW,Regional,Marketplace,Returning,High value,Footwear,Paid Social,Mobile,Standard Shipping,No,36,38,25,31,39,44,10706.58,11545.68,1128.06,1256.33,970.32,603.01,8608.2,9686.35,239.12,254.9,4.65%,5.29%,10.91%,8.60%,77.99%,83.23%
2352,NSW,Regional NSW,Regional,Online Store,New,Reactivated,Apparel,Organic Search,Desktop,Express Shipping,No,5,6,4,5,7,9,1096.82,1279.22,89.91,118.45,105.29,115.89,901.62,1044.88,180.32,174.15,4.15%,4.51%,14.02%,14.20%,9.33%,13.66%
2352,NSW,Regional NSW,Regional,Online Store,Returning,New customer,Accessories,Email / SMS,Desktop,Express Shipping,No,157,194,107,156,271,346,19620.77,25388.08,2709.46,3579.64,903.12,1138.21,16008.19,20670.22,101.96,106.55,2.36%,2.78%,7.36%,5.61%,73.63%,76.17%
2352,NSW,Regional NSW,Regional,Online Store,New,High value,Accessories,Direct,Mobile,Standard Shipping,Yes,27,33,23,25,48,59,2512.8,3355.39,305.38,487.68,63.1,109.6,2144.33,2758.11,79.42,83.58,1.58%,1.65%,3.69%,5.34%,15.15%,14.65%
2352,NSW,Regional NSW,Regional,Online Store,Returning,At risk,Footwear,Email / SMS,Mobile,Standard Shipping,No,3,3,3,2,3,3,800.54,802.36,31.61,33.58,66.56,55.97,702.36,712.81,234.12,237.6,6.20%,6.06%,10.70%,10.31%,60.10%,62.55%
2353,NSW,Regional NSW,Regional,Online Store,Returning,Active,Home & Lifestyle,Paid Social,Desktop,Standard Shipping,No,14,17,12,13,19,24,3221.88,3853.02,221.87,197.37,81.67,54.33,2918.34,3601.32,208.45,211.84,2.36%,2.48%,4.16%,1.71%,73.32%,80.99%
2353,NSW,Regional NSW,Regional,Shop App,New,Active,Footwear,Email / SMS,Desktop,Standard Shipping,No,8,9,7,8,9,11,2438.85,3031.71,304.99,361.52,336.56,443.38,1797.29,2226.81,224.66,247.42,2.00%,2.17%,18.14%,17.42%,8.84%,15.35%
2353,NSW,Regional NSW,Regional,Marketplace,Returning,Reactivated,Accessories,Paid Social,Mobile,Standard Shipping,No,42,53,28,35,79,103,3883.39,5217.66,580.07,726.38,60.12,153.19,3243.2,4338.09,77.22,81.85,3.90%,3.75%,2.41%,3.74%,58.32%,57.10%
2353,NSW,Regional NSW,Regional,Online Store,Returning,New customer,Accessories,Referral / Affiliate,Mobile,Express Shipping,No,21,24,16,17,39,48,2430.82,2841.71,111.88,61.14,105.69,180.85,2213.26,2599.72,105.39,108.32,3.39%,3.71%,7.14%,7.72%,51.25%,54.40%
2355,NSW,Regional NSW,Regional,Shop App,Returning,At risk,Footwear,Direct,Mobile,Click & Collect,No,20,23,17,20,24,28,5576.8,6559.35,247.18,419.42,519.51,422.29,4810.1,5717.65,240.51,248.59,4.63%,4.71%,10.98%,10.70%,51.17%,50.35%
2355,NSW,Regional NSW,Regional,Online Store,New,Active,Home & Lifestyle,Paid Social,Mobile,Standard Shipping,Yes,20,20,18,15,24,25,4946.23,5494.54,884.95,1070.58,199.62,235.9,3861.66,4188.06,193.08,209.4,1.96%,2.21%,7.30%,5.47%,8.51%,9.16%
2355,NSW,Regional NSW,Regional,Retail POS,New,Active,Home & Lifestyle,Paid Social,Desktop,Standard Shipping,No,42,50,33,42,56,67,7997.98,10143.79,369.14,540.42,253.31,375.25,7375.52,9228.13,175.61,184.56,3.25%,3.28%,5.00%,5.92%,11.81%,14.68%
2355,NSW,Regional NSW,Regional,Marketplace,Returning,New customer,Apparel,Paid Social,Mobile,Express Shipping,No,92,103,84,88,138,167,15665.85,17538.0,1895.37,1912.88,1368.28,961.65,12402.19,14663.47,134.81,142.36,4.12%,4.12%,11.53%,9.25%,56.22%,53.33%
2388,NSW,Regional NSW,Remote,Online Store,Returning,Active,Apparel,Email / SMS,Mobile,Express Shipping,Yes,4,4,4,3,6,7,913.64,986.33,154.72,171.48,58.19,79.05,700.73,735.8,175.18,183.95,5.43%,6.29%,8.52%,9.84%,71.02%,69.68%
2388,NSW,Regional NSW,Remote,Online Store,Returning,New customer,Footwear,Paid Social,Mobile,Standard Shipping,Yes,1,1,1,1,1,1,217.48,253.53,33.51,41.27,33.96,27.39,150.0,184.87,150.0,184.87,4.95%,5.16%,18.46%,18.38%,48.93%,49.38%
2388,NSW,Regional NSW,Remote,Shop App,New,Reactivated,Home & Lifestyle,Referral / Affiliate,Desktop,Standard Shipping,No,9,11,7,7,12,15,1821.32,2243.16,199.33,239.29,128.06,96.06,1493.93,1907.81,165.99,173.44,2.70%,2.81%,8.84%,6.98%,8.20%,12.55%
2388,NSW,Regional NSW,Remote,Online Store,Returning,Reactivated,Beauty & Personal Care,Paid Search,Mobile,Express Shipping,Yes,20,25,18,18,44,57,2370.61,3109.1,228.66,298.26,72.43,75.79,2069.52,2735.05,103.48,109.4,2.73%,3.20%,4.10%,3.63%,50.82%,54.21%
2415,NSW,Regional NSW,Regional,Shop App,Returning,High value,Accessories,Paid Search,Mobile,Standard Shipping,No,79,95,60,64,139,169,8318.82,10274.89,671.21,680.2,507.43,559.39,7140.18,9035.3,90.38,95.11,3.91%,4.36%,7.73%,7.13%,55.20%,57.63%
2415,NSW,Regional NSW,Regional,Shop App,Returning,Active,Footwear,Email / SMS,Mobile,Standard Shipping,No,19,22,17,15,22,27,5399.47,6207.93,215.56,131.34,436.28,476.84,4747.63,5599.75,249.88,254.53,4.53%,4.50%,9.66%,9.10%,55.95%,58.63%
2415,NSW,Regional NSW,Regional,Online Store,Returning,High value,Footwear,Paid Search,Mobile,Express Shipping,No,16,17,12,13,16,18,4207.45,4713.67,131.19,114.84,487.9,616.06,3588.36,3982.77,224.27,234.28,5.24%,6.04%,16.30%,17.26%,77.62%,78.96%
2415,NSW,Regional NSW,Regional,Online Store,New,High value,Apparel,Organic Search,Mobile,Express Shipping,No,68,76,50,67,111,132,11036.3,12512.75,583.65,826.3,982.83,820.45,9469.81,10866.0,139.26,142.97,2.22%,2.57%,12.39%,11.07%,12.43%,18.73%
2429,NSW,Regional NSW,Regional,Online Store,New,Active,Home & Lifestyle,Email / SMS,Mobile,Standard Shipping,No,24,25,16,17,29,31,5173.08,5595.72,645.28,695.39,330.69,418.29,4197.1,4482.03,174.88,179.28,2.38%,2.68%,8.27%,9.07%,13.92%,20.08%
2429,NSW,Regional NSW,Regional,Online Store,New,Reactivated,Accessories,Email / SMS,Mobile,Standard Shipping,Yes,25,32,21,25,42,56,3068.07,3890.13,601.83,677.45,113.02,86.83,2353.21,3125.84,94.13,97.68,5.15%,4.98%,4.42%,3.47%,11.74%,16.24%
2429,NSW,Regional NSW,Regional,Retail POS,Returning,Active,Footwear,Direct,Desktop,Express Shipping,Yes,57,68,49,52,69,89,21776.63,25992.79,3528.69,4169.23,2822.08,3240.94,15425.86,18582.62,270.63,273.27,1.87%,1.92%,16.86%,14.79%,66.54%,71.23%
2429,NSW,Regional NSW,Regional,Online Store,Returning,Active,Home & Lifestyle,Referral / Affiliate,Desktop,Standard Shipping,No,41,46,32,35,55,61,8282.28,9709.94,592.26,453.43,278.23,409.93,7411.79,8846.57,180.78,192.32,2.05%,2.28%,5.62%,7.34%,77.85%,82.14%
2462,NSW,Regional NSW,Regional,Marketplace,Returning,At risk,Home & Lifestyle,Direct,Mobile,Standard Shipping,No,46,57,36,46,54,68,7909.69,10001.63,326.73,394.85,388.17,399.0,7194.79,9207.78,156.41,161.54,3.56%,3.60%,6.94%,6.76%,53.16%,59.60%
2462,NSW,Regional NSW,Regional,Marketplace,New,Active,Beauty & Personal Care,Paid Search,Mobile,Standard Shipping,Yes,33,35,26,26,63,70,3371.59,3871.76,635.86,800.32,29.22,65.76,2706.51,3005.68,82.02,85.88,3.87%,4.33%,1.12%,2.60%,20.85%,23.90%
2462,NSW,Regional NSW,Regional,Social Commerce,Returning,Active,Apparel,Paid Social,Mobile,Standard Shipping,Yes,15,17,11,13,22,25,2544.26,3027.35,301.18,357.37,148.46,209.56,2094.62,2460.42,139.64,144.73,2.83%,3.31%,8.87%,9.19%,55.49%,57.71%
2462,NSW,Regional NSW,Regional,Online Store,New,At risk,Home & Lifestyle,Paid Social,Desktop,Standard Shipping,No,24,30,19,24,29,36,5166.89,6290.35,700.27,785.27,359.83,342.82,4106.79,5162.26,171.12,172.08,3.22%,3.65%,8.83%,7.47%,15.54%,18.16%
2475,NSW,Regional NSW,Regional,Shop App,New,New customer,Beauty & Personal Care,Organic Search,Mobile,Standard Shipping,No,26,31,18,22,54,70,2372.86,2918.26,131.0,143.56,34.16,33.43,2207.7,2741.27,84.91,88.43,4.36%,4.99%,2.37%,1.75%,21.23%,23.15%
2475,NSW,Regional NSW,Regional,Social Commerce,New,At risk,Home & Lifestyle,Paid Social,Desktop,Standard Shipping,Yes,21,26,14,18,26,32,4219.0,5388.33,580.82,785.61,138.01,104.35,3500.17,4498.36,166.67,173.01,1.93%,1.90%,4.82%,2.77%,19.05%,25.54%
2475,NSW,Regional NSW,Regional,Social Commerce,Returning,Active,Accessories,Paid Search,Tablet,Standard Shipping,No,8,11,6,7,15,21,869.27,1233.4,107.61,130.25,44.52,61.23,717.14,1041.92,89.64,94.72,3.90%,4.27%,6.90%,6.02%,76.33%,79.57%
2475,NSW,Regional NSW,Regional,Social Commerce,Returning,New customer,Home & Lifestyle,Organic Search,Mobile,Express Shipping,Yes,16,20,14,17,23,28,3960.35,5072.87,476.06,487.27,272.99,400.39,3211.3,4185.2,200.71,209.26,3.46%,3.33%,8.83%,10.16%,75.84%,76.68%
2483,NSW,Regional NSW,Regional,Online Store,New,At risk,Apparel,Paid Social,Mobile,Standard Shipping,Yes,11,13,9,10,16,19,1771.84,2186.39,185.33,281.04,118.09,145.46,1468.42,1759.89,133.49,135.38,3.80%,3.75%,10.23%,11.05%,5.02%,9.34%
2483,NSW,Regional NSW,Regional,Online Store,Returning,Active,Beauty & Personal Care,Referral / Affiliate,Mobile,Express Shipping,No,160,186,142,140,343,427,14585.68,18352.62,2129.54,2654.38,318.09,622.93,12138.05,15075.32,75.86,81.05,1.92%,2.08%,2.70%,4.17%,56.93%,58.54%
2483,NSW,Regional NSW,Regional,Shop App,Returning,New customer,Apparel,Organic Search,Mobile,Standard Shipping,No,2,3,2,2,3,5,444.13,607.25,24.59,41.43,25.48,41.99,394.06,523.82,197.03,174.61,2.14%,2.20%,7.24%,8.69%,55.16%,58.27%
2483,NSW,Regional NSW,Regional,Online Store,Returning,At risk,Home & Lifestyle,Organic Search,Mobile,Standard Shipping,Yes,86,108,74,79,115,155,23157.9,29154.21,4324.47,5137.24,1582.37,1697.19,17251.06,22319.77,200.59,206.66,4.18%,4.49%,9.73%,10.14%,60.45%,62.77%
2529,NSW,Regional NSW,Regional,Online Store,Returning,At risk,Beauty & Personal Care,Paid Search,Mobile,Standard Shipping,No,4,5,3,4,8,10,385.69,496.76,50.18,75.75,3.94,4.41,331.56,416.6,82.89,83.32,4.18%,4.43%,1.81%,1.42%,72.53%,77.38%
2529,NSW,Regional NSW,Regional,Online Store,New,At risk,Beauty & Personal Care,Organic Search,Tablet,Standard Shipping,No,46,55,35,47,90,113,4147.92,5284.16,263.79,315.8,126.77,252.29,3757.36,4716.08,81.68,85.75,3.24%,3.04%,4.12%,5.86%,18.26%,22.05%
2529,NSW,Regional NSW,Regional,Shop App,Returning,High value,Accessories,Paid Social,Desktop,Standard Shipping,No,22,24,15,16,38,43,2568.57,2943.98,219.81,186.66,47.17,9.54,2301.59,2747.78,104.62,114.49,4.36%,4.57%,2.92%,0.50%,62.36%,63.38%
2529,NSW,Regional NSW,Regional,Online Store,New,High value,Apparel,Email / SMS,Desktop,Standard Shipping,Yes,33,34,29,27,47,51,6620.25,6377.23,1265.67,1176.66,906.1,517.96,4448.48,4682.61,134.8,137.72,3.01%,3.40%,16.27%,14.04%,9.72%,13.47%
2530,NSW,Regional NSW,Regional,Online Store,New,High value,Apparel,Direct,Mobile,Standard Shipping,No,21,22,19,18,35,36,4155.3,4564.33,126.36,120.95,494.74,509.55,3534.2,3933.83,168.3,178.81,2.90%,2.94%,15.30%,16.02%,9.69%,14.56%
2530,NSW,Regional NSW,Regional,Marketplace,Returning,Active,Footwear,Direct,Mobile,Standard Shipping,No,33,38,28,28,37,44,8695.07,10102.16,678.86,771.1,566.68,573.68,7449.53,8757.37,225.74,230.46,2.90%,3.21%,10.61%,9.87%,65.56%,72.24%
2530,NSW,Regional NSW,Regional,Shop App,New,New customer,Apparel,Direct,Mobile,Standard Shipping,No,35,45,29,35,56,71,7324.64,9872.58,637.83,1075.01,486.3,354.62,6200.5,8442.96,177.16,187.62,3.83%,4.08%,8.10%,6.48%,20.32%,20.00%
2530,NSW,Regional NSW,Regional,Online Store,Returning,Active,Apparel,Paid Search,Tablet,Click & Collect,Yes,9,9,8,7,14,13,1473.89,1577.81,140.31,120.49,120.74,164.4,1212.84,1292.93,134.76,143.66,5.08%,5.84%,12.22%,13.46%,50.75%,54.46%
2534,NSW,Regional NSW,Regional,Marketplace,New,New customer,Apparel,Paid Search,Desktop,Standard Shipping,No,49,55,42,36,75,89,9259.61,10456.14,1312.56,1529.05,770.18,712.22,7176.88,8214.87,146.47,149.36,3.97%,4.23%,11.82%,9.96%,16.90%,17.26%
2534,NSW,Regional NSW,Regional,Online Store,Returning,New customer,Beauty & Personal Care,Organic Search,Mobile,Express Shipping,No,55,62,38,43,104,121,5084.25,5816.16,627.89,610.29,142.16,168.01,4314.2,5037.86,78.44,81.26,2.02%,2.00%,3.73%,4.48%,48.55%,51.97%
2534,NSW,Regional NSW,Regional,Online Store,Returning,New customer,Footwear,Paid Social,Desktop,Standard Shipping,No,15,17,12,12,16,19,4413.38,5198.5,451.92,619.92,618.38,675.01,3343.09,3903.57,222.87,229.62,4.86%,5.61%,18.10%,17.14%,54.46%,53.90%
2534,NSW,Regional NSW,Regional,Social Commerce,New,New customer,Footwear,Email / SMS,Mobile,Standard Shipping,No,8,8,7,7,9,8,1851.9,1968.91,114.4,160.83,221.21,141.2,1516.3,1666.88,189.54,208.36,3.74%,4.14%,14.51%,12.29%,14.14%,14.88%
2566,NSW,Regional NSW,Regional,Shop App,Returning,At risk,Beauty & Personal Care,Paid Social,Mobile,Express Shipping,No,139,177,99,143,287,375,12100.71,16347.95,1172.61,1517.88,243.43,509.96,10684.67,14320.12,76.87,80.9,5.46%,5.17%,2.37%,3.88%,70.69%,68.94%
2566,NSW,Regional NSW,Regional,Marketplace,Returning,High value,Accessories,Organic Search,Mobile,Express Shipping,No,130,140,105,111,237,252,13713.46,16313.98,631.71,1039.84,212.93,345.92,12868.83,14928.22,98.99,106.63,2.30%,2.70%,2.26%,2.50%,58.37%,59.35%
2566,NSW,Regional NSW,Regional,Online Store,New,High value,Accessories,Direct,Mobile,Standard Shipping,Yes,84,89,75,65,161,177,8652.47,9290.45,786.53,715.56,126.81,77.58,7739.13,8497.31,92.13,95.48,2.91%,3.42%,2.05%,1.15%,5.74%,5.67%
2566,NSW,Regional NSW,Regional,Shop App,Returning,New customer,Apparel,Organic Search,Mobile,Standard Shipping,No,58,67,42,53,96,118,11554.48,13989.11,650.68,755.69,1036.68,1242.81,9867.12,11990.6,170.12,178.96,4.39%,4.42%,12.39%,12.70%,72.61%,78.85%
2572,NSW,Regional NSW,Regional,Marketplace,New,New customer,Footwear,Referral / Affiliate,Mobile,Standard Shipping,No,17,21,14,15,20,25,3861.99,4841.87,313.36,455.0,526.49,540.77,3022.13,3846.1,177.77,183.15,3.70%,3.65%,16.46%,14.57%,14.41%,18.13%
2572,NSW,Regional NSW,Regional,Marketplace,Returning,Active,Home & Lifestyle,Paid Search,Desktop,Standard Shipping,No,19,20,15,14,25,27,4142.22,4560.32,607.07,722.28,298.3,231.95,3236.84,3606.09,170.36,180.3,5.18%,5.19%,8.59%,7.59%,72.84%,74.08%
2572,NSW,Regional NSW,Regional,Online Store,New,New customer,Accessories,Email / SMS,Mobile,Express Shipping,Yes,53,62,48,53,86,106,6815.14,8111.53,1305.58,1543.29,398.58,293.24,5110.98,6274.99,96.43,101.21,2.34%,2.56%,7.91%,6.25%,21.55%,25.20%
2572,NSW,Regional NSW,Regional,Online Store,Returning,At risk,Apparel,Email / SMS,Mobile,Standard Shipping,No,19,20,16,18,32,35,3551.27,3918.16,396.24,481.8,296.37,335.9,2858.66,3100.45,150.46,155.02,2.73%,3.19%,12.68%,12.23%,76.89%,75.47%
2585,NSW,Regional NSW,Regional,Shop App,New,High value,Footwear,Paid Social,Mobile,Standard Shipping,Yes,1,1,1,1,1,1,437.48,476.05,88.77,93.49,44.86,42.72,303.85,339.84,303.85,339.84,1.62%,1.67%,12.18%,11.04%,7.88%,6.92%
2585,NSW,Regional NSW,Regional,Social Commerce,New,High value,Accessories,Referral / Affiliate,Desktop,Standard Shipping,No,30,35,23,27,53,66,2967.35,3718.34,368.6,492.12,45.71,95.38,2553.04,3130.83,85.1,89.45,4.22%,4.96%,2.71%,3.64%,11.44%,15.35%
2585,NSW,Regional NSW,Regional,Social Commerce,New,Active,Apparel,Organic Search,Mobile,Standard Shipping,No,1,1,1,1,1,1,213.06,240.37,12.45,12.07,25.78,26.75,174.83,201.55,174.83,201.55,3.22%,3.69%,16.30%,16.38%,19.56%,20.04%
2585,NSW,Regional NSW,Regional,Online Store,New,Reactivated,Footwear,Paid Search,Mobile,Standard Shipping,No,31,36,22,30,35,43,9101.84,10924.29,530.62,447.01,452.11,681.85,8119.11,9795.43,261.91,272.1,4.17%,4.11%,8.62%,9.62%,12.19%,15.16%
2586,NSW,Regional NSW,Regional,Social Commerce,New,High value,Accessories,Paid Social,Mobile,Express Shipping,No,53,63,38,55,99,121,5500.77,6481.03,656.3,706.08,330.84,208.78,4513.63,5566.17,85.16,88.35,3.29%,3.22%,7.83%,5.51%,11.39%,10.87%
2586,NSW,Regional NSW,Regional,Online Store,Returning,Reactivated,Home & Lifestyle,Email / SMS,Mobile,Standard Shipping,No,4,5,3,4,5,6,754.58,895.13,44.54,58.71,22.88,32.29,687.16,804.13,171.79,160.83,2.37%,2.63%,4.79%,4.89%,62.88%,70.47%
2586,NSW,Regional NSW,Regional,Online Store,Returning,New customer,Footwear,Paid Search,Mobile,Standard Shipping,No,63,68,55,61,77,87,19327.21,21336.37,733.61,302.81,1669.12,1339.31,16924.48,19694.24,268.64,289.62,2.09%,2.23%,11.86%,9.44%,53.19%,52.11%
2586,NSW,Regional NSW,Regional,Online Store,New,Active,Footwear,Paid Search,Tablet,Standard Shipping,Yes,15,14,13,11,17,17,4294.97,4347.68,847.24,871.62,538.43,482.73,2909.3,2993.32,193.95,213.81,2.09%,2.02%,15.63%,17.42%,5.25%,8.54%
2600,ACT,Canberra,Metro,Retail POS,Returning,New customer,Footwear,Paid Social,Mobile,Standard Shipping,No,63,73,44,59,74,90,21648.08,27293.94,2503.08,3048.07,1574.22,2649.17,17570.78,21596.7,278.9,295.85,4.38%,5.08%,13.15%,14.75%,49.88%,48.34%
2600,ACT,Canberra,Metro,Online Store,Returning,New customer,Footwear,Paid Social,Desktop,Standard Shipping,No,5,5,4,3,6,6,1619.86,1781.66,152.88,211.04,106.67,123.64,1360.31,1446.98,272.06,289.4,4.41%,4.67%,8.58%,8.34%,75.69%,79.80%
2600,ACT,Canberra,Metro,Shop App,Returning,New customer,Accessories,Paid Social,Desktop,Express Shipping,Yes,50,67,45,58,85,120,6037.82,8020.63,1008.49,1242.81,177.45,246.66,4851.89,6531.16,97.04,97.48,3.62%,4.09%,3.77%,4.57%,54.15%,54.57%
2600,ACT,Canberra,Metro,Shop App,Returning,New customer,Apparel,Paid Social,Desktop,Click & Collect,Yes,33,43,30,38,54,71,6214.3,8606.77,1013.96,1439.27,413.31,799.26,4787.03,6368.24,145.06,148.1,3.78%,3.71%,11.46%,11.56%,58.33%,55.57%
2601,ACT,Canberra,Metro,Online Store,New,High value,Accessories,Email / SMS,Mobile,Standard Shipping,No,37,39,28,30,64,68,3589.79,3867.14,371.63,320.97,181.59,132.26,3036.57,3413.9,82.07,87.54,3.65%,3.77%,6.29%,5.83%,13.10%,13.50%
2601,ACT,Canberra,Metro,Online Store,Returning,New customer,Beauty & Personal Care,Email / SMS,Desktop,Standard Shipping,Yes,34,42,25,29,69,91,3531.63,4551.69,364.95,376.76,69.9,103.85,3096.77,4071.08,91.08,96.93,3.14%,3.14%,3.26%,3.88%,58.98%,60.16%
2601,ACT,Canberra,Metro,Social Commerce,Returning,High value,Apparel,Email / SMS,Mobile,Standard Shipping,No,19,20,17,17,27,29,3181.72,3683.91,424.21,545.47,310.63,391.15,2446.88,2747.29,128.78,137.36,4.36%,5.06%,12.23%,13.08%,50.87%,58.09%
2601,ACT,Canberra,Metro,Online Store,New,Reactivated,Home & Lifestyle,Paid Search,Desktop,Standard Shipping,No,55,56,43,49,66,69,9259.06,9579.26,296.9,192.46,244.0,164.9,8718.15,9221.9,158.51,164.68,2.48%,2.46%,4.29%,2.38%,17.44%,18.19%
